주민등록번호,이름,연봉,결혼여부,자녀수,부양가족수,의료비공제액,교육비공제액,주택자금공제액,기부금공제액,신용카드사용액,체크카드사용액,현금영수증사용액,연금저축공제액,퇴직연금공제액,소득공제총액
120328-2195037,김성현,32990000,미혼,1,1,2780000,2000000,200000,1930000,63930000,98100000,43450000,1010000,6200000,14120000
630500-1099507,김예원,41620000,기혼,2,3,160000,1610000,1830000,640000,129730000,85690000,4280000,1150000,5750000,11140000
230601-2148440,박성진,58260000,미혼,3,4,290000,280000,2410000,560000,93050000,96330000,36230000,2850000,4540000,10930000
330523-2302266,박지후,69900000,미혼,0,2,1560000,570000,850000,890000,60430000,33690000,44290000,1040000,2080000,6990000
860505-2077456,최중수,34560000,미혼,2,4,300000,1980000,2650000,960000,148970000,66970000,49950000,410000,6650000,12950000
450600-2453434,한경수,54230000,미혼,3,1,3630000,1850000,5470000,370000,54830000,53960000,16080000,830000,2120000,14270000
530414-2063672,강영수,27650000,기혼,3,3,1590000,2490000,970000,880000,106050000,18470000,16180000,3290000,5860000,15080000
400102-2825838,강현숙,67840000,기혼,2,2,4800000,1210000,2810000,1880000,135940000,41840000,3220000,1930000,2490000,15120000
440403-2095017,김정자,84040000,기혼,3,2,1350000,290000,4720000,1990000,169780000,8930000,4110000,2610000,1640000,12600000
550515-2762102,김예은,88650000,미혼,0,4,4480000,1920000,6200000,1880000,40190000,13170000,49750000,1350000,3890000,19720000
620720-2141600,이준호,87690000,기혼,1,5,40000,1610000,880000,1550000,122190000,31730000,11250000,980000,1400000,6460000
060428-2622008,김예원,94850000,기혼,3,5,3510000,200000,2240000,1880000,101710000,16940000,45590000,3010000,3310000,14150000
410227-2102598,김보람,79680000,미혼,3,2,1800000,1590000,6540000,920000,192460000,7320000,6450000,1210000,5250000,17310000
280300-2331223,박승민,68190000,미혼,3,4,840000,50000,780000,190000,15010000,30070000,35680000,2240000,20000,4120000
150703-1685129,홍영순,69870000,미혼,1,4,1340000,730000,5610000,1880000,18930000,76240000,2640000,1420000,4390000,15370000
200727-2469019,김성훈,92180000,기혼,1,5,670000,640000,6020000,1440000,150890000,69460000,39640000,3840000,5770000,18380000
510727-1386543,이은정,82140000,미혼,0,2,0,2380000,7320000,630000,82340000,46560000,33880000,640000,3590000,14560000
930109-1449982,양상호,78260000,미혼,2,4,1650000,1880000,7360000,1450000,28710000,83490000,6980000,1460000,2380000,16180000
960704-2025965,이지후,79580000,미혼,3,5,2150000,560000,1040000,920000,89170000,80950000,24740000,3750000,5440000,13860000
040509-1158709,김지훈,87470000,기혼,0,1,2900000,1370000,1200000,650000,96570000,43040000,6600000,1690000,3120000,10930000
